disease,n,p,k,temperature,humidity,ph,severity_level
Leaf Spot,100,50,100,20,60,6.5,1
Leaf Spot,101,51,101,20.1,61,6.4,1
Leaf Spot,102,52,102,20.2,62,6.3,1
Leaf Spot,103,53,103,20.3,63,6.2,1
Leaf Spot,104,54,104,20.4,64,6.1,1
Leaf Spot,105,55,105,20.5,65,6,1
Leaf Spot,106,56,106,20.6,66,5.9,1
Leaf Spot,107,57,107,20.7,67,5.8,1
Leaf Spot,108,58,108,20.8,68,5.7,1
Leaf Spot,109,59,109,20.9,69,5.6,1
Leaf Spot,110,60,110,21,70,5.5,1
Leaf Spot,111,61,111,21.1,60,6.5,1
Leaf Spot,112,62,112,21.2,61,6.4,1
Leaf Spot,113,63,113,21.3,62,6.3,1
Leaf Spot,114,64,114,21.4,63,6.2,1
Leaf Spot,115,65,115,21.5,64,6.1,1
Leaf Spot,116,66,116,21.6,65,6,1
Leaf Spot,117,67,117,21.7,66,5.9,1
Leaf Spot,118,68,118,21.8,67,5.8,1
Leaf Spot,119,69,119,21.9,68,5.7,1
Leaf Spot,120,70,120,22,69,5.6,1
Leaf Spot,121,71,121,22.1,70,5.5,1
Leaf Spot,122,72,122,22.2,60,6.5,1
Leaf Spot,123,73,123,22.3,61,6.4,1
Leaf Spot,124,74,124,22.4,62,6.3,1
Leaf Spot,125,75,125,22.5,63,6.2,1
Leaf Spot,126,76,126,22.6,64,6.1,1
Leaf Spot,127,77,127,22.7,65,6,1
Leaf Spot,128,78,128,22.8,66,5.9,1
Leaf Spot,129,79,129,22.9,67,5.8,1
Leaf Spot,130,80,130,23,68,5.7,1
Leaf Spot,131,81,131,23.1,69,5.6,1
Leaf Spot,132,82,132,23.2,70,5.5,1
Leaf Spot,133,83,133,23.3,60,6.5,1
Leaf Spot,134,84,134,23.4,61,6.4,1
Leaf Spot,135,85,135,23.5,62,6.3,1
Leaf Spot,136,86,136,23.6,63,6.2,1
Leaf Spot,137,87,137,23.7,64,6.1,1
Leaf Spot,138,88,138,23.8,65,6,1
Leaf Spot,139,89,139,23.9,66,5.9,1
Leaf Spot,140,90,140,24,67,5.8,1
Leaf Spot,141,91,141,24.1,68,5.7,1
Leaf Spot,142,92,142,24.2,69,5.6,1
Leaf Spot,143,93,143,24.3,70,5.5,1
Leaf Spot,144,94,144,24.4,60,6.5,1
Leaf Spot,145,95,145,24.5,61,6.4,1
Leaf Spot,146,96,146,24.6,62,6.3,1
Leaf Spot,147,97,147,24.7,63,6.2,1
Leaf Spot,148,98,148,24.8,64,6.1,1
Leaf Spot,149,99,149,24.9,65,6,1
Leaf Spot,150,100,150,25,66,5.9,1
Leaf Spot,100,50,100,25.1,67,5.8,1
Leaf Spot,101,51,101,25.2,68,5.7,1
Leaf Spot,102,52,102,25.3,69,5.6,1
Leaf Spot,103,53,103,25.4,70,5.5,1
Leaf Spot,104,54,104,25.5,60,6.5,1
Leaf Spot,105,55,105,25.6,61,6.4,1
Leaf Spot,106,56,106,25.7,62,6.3,1
Leaf Spot,107,57,107,25.8,63,6.2,1
Leaf Spot,108,58,108,25.9,64,6.1,1
Leaf Spot,109,59,109,26,65,6,1
Leaf Spot,110,60,110,26.1,66,5.9,1
Leaf Spot,111,61,111,26.2,67,5.8,1
Leaf Spot,112,62,112,26.3,68,5.7,1
Leaf Spot,113,63,113,26.4,69,5.6,1
Leaf Spot,114,64,114,26.5,70,5.5,1
Leaf Spot,115,65,115,26.6,60,6.5,1
Leaf Spot,116,66,116,26.7,61,6.4,1
Leaf Spot,117,67,117,26.8,62,6.3,1
Leaf Spot,118,68,118,26.9,63,6.2,1
Leaf Spot,119,69,119,27,64,6.1,1
Leaf Spot,120,70,120,27.1,65,6,1
Leaf Spot,121,71,121,27.2,66,5.9,1
Leaf Spot,122,72,122,27.3,67,5.8,1
Leaf Spot,123,73,123,27.4,68,5.7,1
Leaf Spot,124,74,124,27.5,69,5.6,1
Leaf Spot,125,75,125,27.6,70,5.5,1
Leaf Spot,126,76,126,27.7,60,6.5,1
Leaf Spot,127,77,127,27.8,61,6.4,1
Leaf Spot,128,78,128,27.9,62,6.3,1
Leaf Spot,129,79,129,28,63,6.2,1
Leaf Spot,130,80,130,28.1,64,6.1,1
Leaf Spot,131,81,131,28.2,65,6,1
Leaf Spot,132,82,132,28.3,66,5.9,1
Leaf Spot,133,83,133,28.4,67,5.8,1
Leaf Spot,134,84,134,28.5,68,5.7,1
Leaf Spot,135,85,135,28.6,69,5.6,1
Leaf Spot,136,86,136,28.7,70,5.5,1
Leaf Spot,137,87,137,28.8,60,6.5,1
Leaf Spot,138,88,138,28.9,61,6.4,1
Leaf Spot,139,89,139,29,62,6.3,1
Leaf Spot,140,90,140,29.1,63,6.2,1
Leaf Spot,141,91,141,29.2,64,6.1,1
Leaf Spot,142,92,142,29.3,65,6,1
Leaf Spot,143,93,143,29.4,66,5.9,1
Leaf Spot,144,94,144,29.5,67,5.8,1
Leaf Spot,145,95,145,29.6,68,5.7,1
Leaf Spot,146,96,146,29.7,69,5.6,1
Leaf Spot,147,97,147,29.8,70,5.5,1
Leaf Spot,148,98,148,29.9,60,6.5,1
Leaf Spot,149,99,149,30,61,6.4,1
Leaf Spot,100,50,100,15,60,6.5,1
Leaf Spot,101,51,101,15.1,61,6.4,1
Leaf Spot,102,52,102,15.2,62,6.3,1
Leaf Spot,103,53,103,15.3,63,6.2,1
Leaf Spot,104,54,104,15.4,64,6.1,1
Leaf Spot,105,55,105,15.5,65,6,1
Leaf Spot,106,56,106,15.6,66,5.9,1
Leaf Spot,107,57,107,15.7,67,5.8,1
Leaf Spot,108,58,108,15.8,68,5.7,1
Leaf Spot,109,59,109,15.9,69,5.6,1
Leaf Spot,110,60,110,16,70,5.5,1
Leaf Spot,111,61,111,16.1,60,6.5,1
Leaf Spot,112,62,112,16.2,61,6.4,1
Leaf Spot,113,63,113,16.3,62,6.3,1
Leaf Spot,114,64,114,16.4,63,6.2,1
Leaf Spot,115,65,115,16.5,64,6.1,1
Leaf Spot,116,66,116,16.6,65,6,1
Leaf Spot,117,67,117,16.7,66,5.9,1
Leaf Spot,118,68,118,16.8,67,5.8,1
Leaf Spot,119,69,119,16.9,68,5.7,1
Leaf Spot,120,70,120,17,69,5.6,1
Leaf Spot,121,71,121,17.1,70,5.5,1
Leaf Spot,122,72,122,17.2,60,6.5,1
Leaf Spot,123,73,123,17.3,61,6.4,1
Leaf Spot,124,74,124,17.4,62,6.3,1
Leaf Spot,125,75,125,17.5,63,6.2,1
Leaf Spot,100,50,100,17.6,64,6.1,1
Leaf Spot,101,51,101,17.7,65,6,1
Leaf Spot,102,52,102,17.8,66,5.9,1
Leaf Spot,103,53,103,17.9,67,5.8,1
Leaf Spot,104,54,104,18,68,5.7,1
Leaf Spot,105,55,105,18.1,69,5.6,1
Leaf Spot,106,56,106,18.2,70,5.5,1
Leaf Spot,107,57,107,18.3,60,6.5,1
Leaf Spot,108,58,108,18.4,61,6.4,1
Leaf Spot,109,59,109,18.5,62,6.3,1
Leaf Spot,110,60,110,18.6,63,6.2,1
Leaf Spot,111,61,111,18.7,64,6.1,1
Leaf Spot,112,62,112,18.8,65,6,1
Leaf Spot,113,63,113,18.9,66,5.9,1
Leaf Spot,114,64,114,19,67,5.8,1
Leaf Spot,115,65,115,19.1,68,5.7,1
Leaf Spot,116,66,116,19.2,69,5.6,1
Leaf Spot,117,67,117,19.3,70,5.5,1
Leaf Spot,118,68,118,19.4,60,6.5,1
Leaf Spot,119,69,119,19.5,61,6.4,1
Leaf Spot,120,70,120,19.6,62,6.3,1
Leaf Spot,121,71,121,19.7,63,6.2,1
Leaf Spot,122,72,122,19.8,64,6.1,1
Leaf Spot,123,73,123,19.9,65,6,1
Leaf Spot,124,74,124,20,66,5.9,1
Anthracnose,100,50,100,20,60,6.5,1
Anthracnose,101,51,101,20.1,61,6.4,1
Anthracnose,102,52,102,20.2,62,6.3,1
Anthracnose,103,53,103,20.3,63,6.2,1
Anthracnose,104,54,104,20.4,64,6.1,1
Anthracnose,105,55,105,20.5,65,6,1
Anthracnose,106,56,106,20.6,66,5.9,1
Anthracnose,107,57,107,20.7,67,5.8,1
Anthracnose,108,58,108,20.8,68,5.7,1
Anthracnose,109,59,109,20.9,69,5.6,1
Anthracnose,110,60,110,21,70,5.5,1
Anthracnose,111,61,111,21.1,60,6.5,1
Anthracnose,112,62,112,21.2,61,6.4,1
Anthracnose,113,63,113,21.3,62,6.3,1
Anthracnose,114,64,114,21.4,63,6.2,1
Anthracnose,115,65,115,21.5,64,6.1,1
Anthracnose,116,66,116,21.6,65,6,1
Anthracnose,117,67,117,21.7,66,5.9,1
Anthracnose,118,68,118,21.8,67,5.8,1
Anthracnose,119,69,119,21.9,68,5.7,1
Anthracnose,120,70,120,22,69,5.6,1
Anthracnose,121,71,121,22.1,70,5.5,1
Anthracnose,122,72,122,22.2,60,6.5,1
Anthracnose,123,73,123,22.3,61,6.4,1
Anthracnose,124,74,124,22.4,62,6.3,1
Anthracnose,125,75,125,22.5,63,6.2,1
Anthracnose,126,76,126,22.6,64,6.1,1
Anthracnose,127,77,127,22.7,65,6,1
Anthracnose,128,78,128,22.8,66,5.9,1
Anthracnose,129,79,129,22.9,67,5.8,1
Anthracnose,130,80,130,23,68,5.7,1
Anthracnose,131,81,131,23.1,69,5.6,1
Anthracnose,132,82,132,23.2,70,5.5,1
Anthracnose,133,83,133,23.3,60,6.5,1
Anthracnose,134,84,134,23.4,61,6.4,1
Anthracnose,135,85,135,23.5,62,6.3,1
Anthracnose,136,86,136,23.6,63,6.2,1
Anthracnose,137,87,137,23.7,64,6.1,1
Anthracnose,138,88,138,23.8,65,6,1
Anthracnose,139,89,139,23.9,66,5.9,1
Anthracnose,140,90,140,24,67,5.8,1
Anthracnose,141,91,141,24.1,68,5.7,1
Anthracnose,142,92,142,24.2,69,5.6,1
Anthracnose,143,93,143,24.3,70,5.5,1
Anthracnose,144,94,144,24.4,60,6.5,1
Anthracnose,145,95,145,24.5,61,6.4,1
Anthracnose,146,96,146,24.6,62,6.3,1
Anthracnose,147,97,147,24.7,63,6.2,1
Anthracnose,148,98,148,24.8,64,6.1,1
Anthracnose,149,99,149,24.9,65,6,1
Anthracnose,150,100,150,25,66,5.9,1
Anthracnose,100,50,100,25.1,67,5.8,1
Anthracnose,101,51,101,25.2,68,5.7,1
Anthracnose,102,52,102,25.3,69,5.6,1
Anthracnose,103,53,103,25.4,70,5.5,1
Anthracnose,104,54,104,25.5,60,6.5,1
Anthracnose,105,55,105,25.6,61,6.4,1
Anthracnose,106,56,106,25.7,62,6.3,1
